key_id,year,trial_num,sales_rep,branch,state,zip_code,location,crop,treatment_type,growth_stage_applied,check_trt,treatment_with_rate,check_yield,trt_yield,trt_increase,pct_increase,std_dev,product_cost,application_cost,trt_cost,dollar_per_acre_increase,net_per_acre,roi,spatial_data,size,customer_info,product_1,rate_1,unit_1,product_2,rate_2,unit_2,product_3,rate_3,unit_3,product_4,rate_4,unit_4,product_5,rate_5,unit_5
,2024,,Nick,Osage,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,263.4,262.9,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Nick,Osage,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,221.7,216.1,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Nick,Osage,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,239.5,241.6,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Nick,Osage,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,284.8,286.6,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Luke,Mason City,,,,Soybeans,Fullscale,Foliar,Untreated,Fullscale,74.7,75.6,,,,$10.67 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Nick,Osage,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,266.8,263.4,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Nick,Osage,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,253.7,257.5,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Nick,Osage,,,,Soybeans,Soybean Boom Cup,Foliar,Untreated,Soybean Boom Cup,70.8,75.1,,,,,,,,,,,,,Soybean Boom Cup,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Soybeans,Enertia,Seed Treatment,Untreated,Enertia,64.5,64.3,,,,$3.50 ,,,,,,,,,Enertia,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Miravis Neo + Coron + Sultrus,Foliar,Untreated,Miravis Neo + Coron + Sultrus,201.6,204.2,,,,,,,,,,,,,Miravis Neo,,,Coron,,,Sultrus,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Miravis Neo + Coron + Sultrus,Foliar,Untreated,Miravis Neo + Coron + Sultrus,231.2,237.1,,,,,,,,,,,,,Miravis Neo,,,Coron,,,Sultrus,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Miravis Neo + Coron + Sultrus,Foliar,Untreated,Miravis Neo + Coron + Sultrus,248.3,261.5,,,,,,,,,,,,,Miravis Neo,,,Coron,,,Sultrus,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,226,221,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,160.2,155.4,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Luke,Mason City,,,,Soybeans,Hi-Phos,Foliar,Untreated,Hi-Phos,58.7,58.2,,,,$7.48 ,,,,,,,,,Hi-Phos,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Soybeans,Fullscale,Foliar,Untreated,Fullscale,51,52,,,,$10.67 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Luke,Mason City,,,,Soybeans,Hi-Phos,Foliar,Untreated,Hi-Phos,63.2,66.6,,,,$7.48 ,,,,,,,,,Hi-Phos,,,,,,,,,,,,,,
,2024,,Luke,Mason City,,,,Soybeans,K-Leaf,Foliar,Untreated,K-Leaf,58.2,60.5,,,,$7.90 ,,,,,,,,,K-Leaf,,,,,,,,,,,,,,
,2024,,Luke,Mason City,,,,Soybeans,K-Leaf,Foliar,Untreated,K-Leaf,63.2,65.6,,,,$7.90 ,,,,,,,,,K-Leaf,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,242,241,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Coron,Foliar,Untreated,Coron,227.9,229.1,,,,$9.00 ,,,,,,,,,Coron,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Coron,Foliar,Untreated,Coron,245.9,246,,,,$9.00 ,,,,,,,,,Coron,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,227.2,228.6,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,206.5,214.2,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,191.2,208.3,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Soybeans,Quickshot,Box Treatment,Untreated,Quickshot,57.95,58.4,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Soybeans,Fullscale,Foliar,Untreated,Fullscale,55.7,59.3,,,,$10.67 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,194.1,198.5,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Stanislawski,Wholesale,,,,Dry Beans,K-Leaf,Foliar,Untreated,K-Leaf,1964,2050,,,,$7.90 ,,,,,,,,,K-Leaf,,,,,,,,,,,,,,
,2024,,Stanislawski,Wholesale,,,,Dry Beans,Coron,Foliar,Untreated,Coron,1964,2050,,,,$8.50 ,,,,,,,,,Coron,,,,,,,,,,,,,,
,2024,,Stanislawski,Wholesale,,,,Soybeans,Hi-Phos,Foliar,Untreated,Hi-Phos,54.2,67.1,,,,$7.48 ,,,,,,,,,Hi-Phos,,,,,,,,,,,,,,
,2024,,Stanislawski,Wholesale,,,,Soybeans,Fullscale,Foliar,Untreated,Fullscale,53.4,62.6,,,,$10.82 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Stanislawski,Wholesale,,,,Soybeans,Regev,Foliar,Untreated,Regev,53.4,61.2,,,,$20.00 ,,,,,,,,,Regev,,,,,,,,,,,,,,
,2024,,Stanislawski,Wholesale,,,,Soybeans,Coron,Foliar,Untreated,Coron,53.4,61.2,,,,$8.50 ,,,,,,,,,Coron,,,,,,,,,,,,,,
,2024,,Stanislawski,Wholesale,,,,Soybeans,Fullscale,Foliar,Untreated,Fullscale,54.2,61.8,,,,$10.82 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Stanislawski,Wholesale,,,,Soybeans,Hi Phos,Foliar,Untreated,Hi Phos,53.4,59.8,,,,$7.48 ,,,,,,,,,Hi Phos,,,,,,,,,,,,,,
,2024,,Stanislawski,Wholesale,,,,Soybeans,K-Leaf,Foliar,Untreated,K-Leaf,53.4,59.8,,,,$7.90 ,,,,,,,,,K-Leaf,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Soybeans,Fullscale + Sulfur EZ,Foliar,Untreated,Fullscale + Sulfur EZ,59.97,64.2,,,,$16.73 ,,,,,,,,,Fullscale,,,Sulfur EZ,,,,,,,,,,,
,2024,,Stanislawski,Wholesale,,,,Soybeans,K-Leaf,Foliar,Untreated,K-Leaf,54.2,55.6,,,,$7.90 ,,,,,,,,,K-Leaf,,,,,,,,,,,,,,
,2024,,Stanislawski,Wholesale,,,,Soybeans,Regev,Foliar,Untreated,Regev,54.2,54.7,,,,$20.00 ,,,,,,,,,Regev,,,,,,,,,,,,,,
,2024,,Stanislawski,Wholesale,,,,Soybeans,Coron,Foliar,Untreated,Coron,54.2,54.2,,,,$8.50 ,,,,,,,,,Coron,,,,,,,,,,,,,,
,2024,,Stanislawski,Wholesale,,,,Dry Beans,Fullscale,Foliar,Untreated,Fullscale,1964,1798,,,,$10.82 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Stanislawski,Wholesale,,,,Dry Beans,Regev,Foliar,Untreated,Regev,1964,1708,,,,$20.00 ,,,,,,,,,Regev,,,,,,,,,,,,,,
,2024,,Ted,Canby,,,,Corn,Coron + Sulfur EZ,Foliar,Untreated,Coron + Sulfur EZ,146.5,165,,,,$15.06 ,,,,,,,,,Coron,,,Sulfur EZ,,,,,,,,,,,
,2024,,Plumski,Royalton,,,,Corn,Coron + Odyssey,Foliar,Untreated,Coron + Odyssey,244,253,,,,$35.11 ,,,,,,,,,Coron,,,Odyssey,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Corn,Trivapro,Foliar,Untreated,Trivapro,192.3,184.8,,,,$26.47 ,,,,,,,,,Trivapro,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Corn,Fullscale,Foliar,Untreated,Fullscale,212.4,215.6,,,,$10.82 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Corn,Trivapro,Foliar,Untreated,Trivapro,155.3,155.4,,,,$26.47 ,,,,,,,,,Trivapro,,,,,,,,,,,,,,
,2024,,Curtis,Menno,,,,Corn,K leaf,Foliar,Untreated,K leaf,196.9,198.5,,,,$7.90 ,,,,,,,,,K leaf,,,,,,,,,,,,,,
,2024,,Plumski,Royalton,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,170,177,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Plumski,Royalton,,,,Corn,Fastand,Box Treatment,Untreated,Fastand,170,171,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Differding,Canby,,,,Soybeans,Viathon,Foliar,Untreated,Viathon,47.3,45.5,,,,$10.90 ,,,,,,,,,Viathon,,,,,,,,,,,,,,
,2024,,Sauer,AST,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,205.4,240.9,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Sauer,AST,,,,Corn,Fastand,Box Treatment,Untreated,Fastand,205.4,229.3,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Curtis,Menno,,,,Corn,K Leaf,Foliar,Untreated,K Leaf,158.35,166.7,,,,$7.90 ,,,,,,,,,K Leaf,,,,,,,,,,,,,,
,2024,,Luke,Mason City,,,,Soybeans,K Leaf,Foliar,Untreated,K Leaf,65.3,63.4,,,,$7.90 ,,,,,,,,,K Leaf,,,,,,,,,,,,,,
,2024,,Molengraf,Clear Lake,,,,Triticale,Fullscale,Foliar,Untreated,Fullscale,3430,3550,,,,$10.82 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Harnisch,Freeman,,,,Soybeans,Enertia,Seed Treatment,Untreated,Enertia,47.3,48.5,,,,$3.50 ,,,,,,,,,Enertia,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Corn,K Leaf + Orbix,Foliar,Untreated,K Leaf + Orbix,159.22,162.4,,,,$23.59 ,,,,,,,,,K Leaf,,,Orbix,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Corn,K Leaf + Orbix,Foliar,Untreated,K Leaf + Orbix,196.9,206.4,,,,$23.59 ,,,,,,,,,K Leaf,,,Orbix,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Corn,K leaf + Sulfur EZ,Foliar,Untreated,K leaf + Sulfur EZ,157.48,166.7,,,,$13.96 ,,,,,,,,,K Leaf,,,Sulfur EZ,,,,,,,,,,,
,2024,,Luke,Mason City,,,,Soybeans,Kickstand Zn,Foliar,Untreated,Kickstand Zn,79.3,78.9,,,,$3.07 ,,,,,,,,,Kickstand Zn,,,,,,,,,,,,,,
,2024,,Holthusen,AST,,,,Corn,Nutrasyst,Starter,Untreated,Nutrasyst,175.9,172.4,,,,$6.33 ,,,,,,,,,Nutrasyst,,,,,,,,,,,,,,
,2024,,Holthusen,AST,,,,Corn,Nutrasyst,Starter,Untreated,Nutrasyst,187.9,186.3,,,,$6.33 ,,,,,,,,,Nutrasyst,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Soybeans,Odyssey + Sultrus,Foliar,Untreated,Odyssey + Sultrus,55.5,57.6,,,,$25.07 ,,,,,,,,,Odyssey,,,Sultrus,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Soybeans,Odyssey + Sultrus,Foliar,Untreated,Odyssey + Sultrus,60.2,59,,,,$25.07 ,,,,,,,,,Odyssey,,,Sultrus,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Soybeans,Odyssey + Sultrus,Foliar,Untreated,Odyssey + Sultrus,68.8,67.6,,,,$25.07 ,,,,,,,,,Odyssey,,,Sultrus,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Soybeans,Odyssey + Sultrus + Sulfur EZ,Foliar,Untreated,Odyssey + Sultrus + Sulfur EZ,68.6,67.8,,,,$31.13 ,,,,,,,,,Odyssey,,,Sultrus,,,Sulfur EZ,,,,,,,,
,2024,,Caleb,Mason City,,,,Soybeans,Enertia,Seed Treatment,Untreated,Enertia,73,74,,,,$3.50 ,,,,,,,,,Enertia,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Soybeans,Odyssey + Sultrus + Sulfur EZ,Foliar,Untreated,Odyssey + Sultrus + Sulfur EZ,65.8,66.3,,,,$31.13 ,,,,,,,,,Odyssey,,,Sultrus,,,Sulfur EZ,,,,,,,,
,2024,,Curtis,Menno,,,,Soybeans,Orbix,Foliar,Untreated,Orbix,47.5,49.6,,,,$15.69 ,,,,,,,,,Orbix,,,,,,,,,,,,,,
,2024,,Tanner,Menno,,,,Soybeans,Orbix,Foliar,Untreated,Orbix,53.6,56.1,,,,$15.69 ,,,,,,,,,Orbix,,,,,,,,,,,,,,
,2024,,Tanner,Menno,,,,Corn,Orbix,Foliar,Untreated,Orbix,196.9,203.5,,,,$15.69 ,,,,,,,,,Orbix,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Orbix,Foliar,Untreated,Orbix,191.3,186.7,,,,$15.69 ,,,,,,,,,Orbix,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Soybeans,Orbix + Sulfur EZ,Foliar,Untreated,Orbix + Sulfur EZ,48.7,49.6,,,,$21.75 ,,,,,,,,,Orbix,,,Sulfur EZ,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Soybeans,Orbix + Sulfur EZ,Foliar,Untreated,Orbix + Sulfur EZ,53.45,56.4,,,,$21.75 ,,,,,,,,,Orbix,,,Sulfur EZ,,,,,,,,,,,
,2024,,Molengraf,Clear Lake,,,,Soybeans,Quickshot,Box Treatment,Untreated,Quickshot,55,56,,,,$4.28 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Holthusen,AST,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,188.1,195.62,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Holthusen,AST,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,142.8,158.73,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Holthusen,AST,,,,Corn,Fastand,Box Treatment,Untreated,Fastand,178.2,176.4,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Holthusen,AST,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,144.28,167.68,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Holthusen,AST,,,,Corn,Quickshot,Box Treatment,Talc Graphite,Quickshot,171,201,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Sauer,AST,,,,Soybeans,Quickshot,Box Treatment,Untreated,Quickshot,54,68.71,,,,$4.28 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Longtin,Clear Lake,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,242.3,239.8,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Longtin,Clear Lake,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,205.1,202.6,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Soybeans,Quickshot,Box Treatment,Untreated,Quickshot,67,67,,,,$4.28 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,221,225,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Lentz,Tripp,,,,Corn,Receptor,Starter,Untreated,Receptor,160.2,130.9,,,,$12.37 ,,,,,,,,,Receptor,,,,,,,,,,,,,,
,2024,,Tanner,Menno,,,,Soybeans,Regev HBX,Foliar,Untreated,Regev HBX,56.47,56.1,,,,$10.63 ,,,,,,,,,Regev HBX,,,,,,,,,,,,,,
,2024,,Tanner,Menno,,,,Soybeans,Regev HBX,Foliar,Untreated,Regev HBX,49.4,49.2,,,,$10.63 ,,,,,,,,,Regev HBX,,,,,,,,,,,,,,
,2024,,Sauer,AST,,,,Soybeans,Fastand,Box Treatment,Untreated,Fastand,54,55.59,,,,$8.19 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Tanner,Menno,,,,Soybeans,Regev HBX,Foliar,Untreated,Regev HBX,51.8,52,,,,$10.63 ,,,,,,,,,Regev HBX,,,,,,,,,,,,,,
,2024,,Molengraf,Clear Lake,,,,Triticale,Sulfur EZ,Foliar,Untreated,Sulfur EZ,3560,3545,,,,$6.06 ,,,,,,,,,Sulfur EZ,,,,,,,,,,,,,,
,2024,,Streyle,Menno,,,,Corn,Sulfur EZ,Foliar,Untreated,Sulfur EZ,156.61,158,,,,$6.06 ,,,,,,,,,Sulfur EZ,,,,,,,,,,,,,,
,2024,,Streyle,Menno,,,,Soybeans,Sulfur EZ,Foliar,Untreated,Sulfur EZ,53.6,55.1,,,,$6.06 ,,,,,,,,,Sulfur EZ,,,,,,,,,,,,,,
,2024,,Caleb,Mason City,,,,Soybeans,Sulfur EZ,Foliar,Untreated,Sulfur EZ,46.4,50.5,,,,$6.06 ,,,,,,,,,Sulfur EZ,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Corn,Sulfur EZ + ENC Flex,Foliar,Untreated,Sulfur EZ + ENC Flex,155.74,164.6,,,,$12.34 ,,,,,,,,,Sulfur EZ,,,ENC Flex,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Corn,Triad,Foliar,Untreated,Triad,196.9,197.8,,,,$10.00 ,,,,,,,,,Triad,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Soybeans,Triad,Foliar,Untreated,Triad,53.45,57.4,,,,$10.00 ,,,,,,,,,Triad,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Soybeans,Veltyma,Foliar,Untreated,Veltyma,49.4,50.85,,,,$32.30 ,,,,,,,,,Veltyma,,,,,,,,,,,,,,
,2024,,Streyle,Menno,,,,Soybeans,Veltyma,Foliar,Untreated,Veltyma,58.8,60.6,,,,$32.30 ,,,,,,,,,Veltyma,,,,,,,,,,,,,,
,2024,,Holthusen,AST,,,,Corn,Fastand,Box Treatment,Talc Graphite,Fastand,171.8,182.8,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Soybeans,Veltyma,Foliar,Untreated,Veltyma,51.8,53.65,,,,$32.30 ,,,,,,,,,Veltyma,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Soybeans,Veltyma + Fullscale,Foliar,Untreated,Veltyma + Fullscale,51.8,54.7,,,,$42.97 ,,,,,,,,,Veltyma,,,Fullscale,,,,,,,,,,,
,2024,,Streyle,Menno,,,,Soybeans,Viathon,Foliar,Untreated,Viathon,49.8,50,,,,$10.90 ,,,,,,,,,Viathon,,,,,,,,,,,,,,
,2024,,Streyle,Menno,,,,Soybeans,Viathon,Foliar,Untreated,Viathon,51.7,53,,,,$10.90 ,,,,,,,,,Viathon,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Soybeans,Viathon,Foliar,Untreated,Viathon,57.63,61.1,,,,$10.90 ,,,,,,,,,Viathon,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Soybeans,Viathon + Fullscale,Foliar,Untreated,Viathon + Fullscale,51.55,54.5,,,,$21.57 ,,,,,,,,,Viathon,,,Fullscale,,,,,,,,,,,
,2024,,Sauer,AST,,,,Soybeans,Zypro,Starter,Untreated,Zypro,47,48,,,,$5.47 ,,,,,,,,,Zypro,,,,,,,,,,,,,,
,2024,,Harnisch,Freeman,,,,Soybeans,Zypro,Starter,Untreated,Zypro,58.4,59.6,,,,$5.47 ,,,,,,,,,Zypro,,,,,,,,,,,,,,
,2024,,Sauer,AST,,,,Soybeans,Zypro,Starter,Untreated,Zypro,52,54,,,,$5.47 ,,,,,,,,,Zypro,,,,,,,,,,,,,,
,2024,,Lentz,Tripp,,,,Corn,Zypro,Starter,Untreated,Zypro,160.2,168.6,,,,$5.47 ,,,,,,,,,Zypro,,,,,,,,,,,,,,
,2024,,Holthusen,AST,,,,Corn,Fastand,Box Treatment,Untreated,Fastand,135.6,150.7,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Nick,Osage,,,,Soybeans,Miravis Neo,Foliar,Untreated,Miravis Neo,68.6,69.8,,,,$42.64 ,,,,,,,,,Miravis Neo,,,,,,,,,,,,,,
